base_origem,qru_corrida,nome_orgao,status_corrida,motivo_corrida,km_total,valor_corrida,data_abertura,data_despacho,data_local_embarque,data_inicio,data_final,origem_endereco,origem_bairro,origem_cidade,origem_uf,destino_solicitado_endereco,destino_efetivo_endereco,origem_latitude,origem_longitude,destino_solicitado_latitude,destino_solicitado_longitude,destino_efetivo_latitude,destino_efetivo_longitude,ateste_setorial_data,conteste_info
TAXIGOV_DF,514640.0,Ministério da Infraestrutura,CONCLUÍDA,1 - REUNIAO EXTERNA,6.16,19.45,2022-03-31 08:24:53.473,2022-03-31 08:25:59.670,2022-03-31 08:30:02.567,2022-03-31 08:30:07.860,2022-03-31 08:40:34.257,MINISTERIO DA INFRAESTRUTURA,,BRASILIA,DF,"SGO Q 1 Ae, Brasilia, DF","SGO, BRASILIA - DF, 70833-520, BRASIL - BRASILIA",-15.796849,-47.867071,-15.782000,-47.911890,-15.781898,-47.912413,2022-04-04 09:19:14.197,
TAXIGOV_DF,514649.0,Ministério da Educação,CONCLUÍDA,1 - REUNIAO EXTERNA,1.64,6.32,2022-03-31 08:29:37.587,2022-03-31 08:31:58.227,2022-03-31 08:35:34.917,2022-03-31 08:37:50.570,2022-03-31 08:45:50.290,EM BLOCO L,BRASILIA,BRASILIA,DF,"Biblioteca do Senado Federal, Brasilia, DF","VIA N. DOIS LESTE, BRASILIA - DF, 70833-520, BRASIL - BRASILIA",-15.794876,-47.872984,-15.797673,-47.863390,-15.797478,-47.863553,2022-04-06 09:53:27.600,
TAXIGOV_DF,514653.0,MCTIC,CONCLUÍDA,1 - REUNIAO EXTERNA,11.52,36.39,2022-03-31 08:30:10.950,2022-03-31 09:40:09.533,2022-03-31 09:49:21.103,2022-03-31 09:50:08.030,2022-03-31 10:03:44.340,SEARQ/MCTI,ASA SUL,BRASILIA,DF,"Ministerio da Economia - Bloco C, Esplanada dos Ministerios, Zona Civico-Administrativa, Brasilia, DF","EMI BLOCO A, BRASILIA - DF, 70346-090, BRASIL - BRASILIA",-15.819025,-47.944400,-15.799061,-47.871666,-15.798726,-47.873246,2022-04-05 17:26:07.183,
TAXIGOV_DF,514659.0,Ministério da Saúde,CONCLUÍDA,4 - OUTROS,4.22,13.33,2022-03-31 08:31:13.927,2022-03-31 08:31:24.200,2022-03-31 08:33:31.930,2022-03-31 08:34:36.790,2022-03-31 08:45:18.053,MINISTÉRIO DA SAÚDE - BLOCO G,,BRASÍLIA,DF,PO 700 - ASA NORTE - BRASÍLIA / DF,"BRASILIA - DF, 70719-000, BRASIL - BRASÍLIA",-15.800236,-47.868381,-15.783635,-47.890337,-15.784173,-47.890487,2022-04-04 11:58:58.300,
TAXIGOV_DF,514663.0,Ministério da Mulher,CONCLUÍDA,1 - REUNIAO EXTERNA,4.66,14.71,2022-03-31 08:32:46.533,2022-03-31 08:32:55.077,2022-03-31 08:36:44.747,2022-03-31 08:36:54.333,2022-03-31 08:47:11.653,"MINISTERIO DA MULHER, DA FAMILIA E DOS DIREITOS HUMANOS",ASA SUL,BRASILIA,DF,"Edificio Parque Cidade Corporate, Asa Sul, Brasilia, DF","BRASILIA - DF, 70346-090, BRASIL - BRASILIA",-15.798489,-47.873138,-15.794493,-47.893340,-15.795265,-47.893983,2022-04-04 12:16:23.437,
TAXIGOV_DF,514664.0,Ministério Cidadania,CONCLUÍDA,1 - REUNIAO EXTERNA,10.99,34.74,2022-03-31 08:33:12.890,2022-03-31 08:36:01.290,2022-03-31 08:42:29.610,2022-03-31 08:42:43.813,2022-03-31 08:55:58.007,"SAAN QUADRA 4,",ASA SUL,BRASILIA,DF,"Ed.The Union, Smpw Trecho 3 Q 2 Q 1 Conjunto 2, Brasilia, Distrito Federal","BRASILIA - DF, 70346-090, BRASIL - BRASILIA",-15.761458,-47.932577,-15.836362,-47.951692,-15.836058,-47.951196,2022-04-04 17:02:05.907,
TAXIGOV_DF,514670.0,Ministério da Economia,CONCLUÍDA,1 - REUNIAO EXTERNA,1.06,6.32,2022-03-31 08:37:01.260,2022-03-31 08:37:20.240,2022-03-31 08:39:16.540,2022-03-31 08:39:21.663,2022-03-31 08:43:21.900,EMI BLOCO F,BRASILIA,BRASILIA,DF,"Ministerio da Economia - Bloco K, Brasilia, Distrito Federal","EM, BRASILIA - DF, 70833-520, BRASIL - BRASILIA",-15.799909,-47.868787,-15.794738,-47.873794,-15.794814,-47.873669,2022-04-07 11:18:57.560,
TAXIGOV_DF,514673.0,Ministério da Saúde,CONCLUÍDA,4 - OUTROS,4.32,13.64,2022-03-31 08:37:45.607,2022-03-31 08:37:56.710,2022-03-31 08:41:42.523,2022-03-31 08:44:06.673,2022-03-31 08:53:48.170,MINISTERIO DA SAUDE (PO 700),BRASILIA,BRASILIA,DF,"Fundacao Nacional de Saude, Asa Sul, Brasilia, DF","VIA DE LIGACAO SE NE, BRASILIA - DF, 70346-090, BRASIL - BRASILIA",-15.783607,-47.890239,-15.803296,-47.880000,-15.803498,-47.879661,2022-04-04 11:58:58.553,
TAXIGOV_DF,514675.0,Ministério da Mulher,CONCLUÍDA,1 - REUNIAO EXTERNA,1.52,6.32,2022-03-31 08:38:06.350,2022-03-31 08:38:15.047,2022-03-31 08:42:08.420,2022-03-31 08:43:14.007,2022-03-31 08:47:28.013,"MINISTERIO DA MULHER, DA FAMILIA E DOS DIREITOS HUMANOS",,BRASILIA,DF,"Casa Civil Geral, Brasilia, DF","VIA N. UM LESTE, BRASILIA - DF, 70833-520, BRASIL - BRASILIA",-15.798489,-47.873138,-15.799106,-47.860212,-15.799240,-47.861805,2022-04-05 08:46:17.330,
TAXIGOV_DF,514677.0,Ministério da Saúde,CONCLUÍDA,1 - REUNIAO EXTERNA,3.73,11.8,2022-03-31 08:38:32.010,2022-03-31 08:39:31.830,2022-03-31 08:44:34.003,2022-03-31 08:45:03.673,2022-03-31 08:53:38.957,PO700-MINISTERIO DA SAUDE,ASA NORTE,BRASILIA,DF,"Fiocruz Brasilia (Fundacao Oswaldo Cruz - Brasilia), Brasilia, DF","UNB, BRASILIA - DF, 70833-520, BRASIL - BRASILIA",-15.783626,-47.890344,-15.770967,-47.871130,-15.771545,-47.870914,2022-04-04 11:59:46.117,
TAXIGOV_DF,514688.0,Ministério da Economia,CONCLUÍDA,1 - REUNIAO EXTERNA,3.1,9.8,2022-03-31 08:43:32.593,2022-03-31 08:44:09.780,2022-03-31 08:49:47.637,2022-03-31 08:49:50.390,2022-03-31 08:54:34.143,EDIFICIO CENTRAL PARK,ASA NORTE,BRASILIA,DF,"Ministerio da Economia - Bloco F, Zona Civico-Administrativa, Brasilia, Distrito Federal","EMI BLOCO F, BRASILIA - DF, 70346-090, BRASIL - BRASILIA",-15.787644,-47.882626,-15.799624,-47.869075,-15.799886,-47.868978,2022-04-07 10:49:38.650,
TAXIGOV_DF,514693.0,Ministério da Saúde,CONCLUÍDA,4 - OUTROS,4.21,13.32,2022-03-31 08:46:33.507,2022-03-31 08:46:42.087,2022-03-31 08:46:51.607,2022-03-31 08:46:56.320,2022-03-31 08:58:28.963,"PO 700,",ASA NORTE,BRASILIA,DF,"MINISTERIO DA SAUDE BL G, - PA 1","EMI BLOCO G, BRASILIA - DF, 70346-090, BRASIL - BRASILIA",-15.78332,-47.89032,-15.80001,-47.86838,-15.800311,-47.868191,2022-04-04 11:58:58.800,
TAXIGOV_DF,514696.0,Ministério da Economia,CONCLUÍDA,1 - REUNIAO EXTERNA,0.92,6.32,2022-03-31 08:47:17.567,2022-03-31 08:47:29.130,2022-03-31 08:51:21.780,2022-03-31 08:51:42.987,2022-03-31 08:54:27.363,MINISTERIO DA ECONOMIA - BLOCO K,ASA NORTE,BRASILIA,DF,"Ministerio da Economia - Bloco C, Esplanada dos Ministerios, Zona Civico-Administrativa, Brasilia, DF","EMI BLOCO C, BRASILIA - DF, 70346-090, BRASIL - BRASILIA",-15.794996,-47.873968,-15.799303,-47.871764,-15.799336,-47.871519,2022-04-07 11:18:57.810,
TAXIGOV_DF,514701.0,Ministério da Saúde,CONCLUÍDA,1 - REUNIAO EXTERNA,3.87,12.23,2022-03-31 08:49:28.460,2022-03-31 08:49:54.850,2022-03-31 08:54:53.293,2022-03-31 08:55:23.983,2022-03-31 09:03:36.390,PO 700,ASA NORTE,BRASILIA,DF,"OPAS / OMS - Organizacao Mundial da Saude, SEN, Asa Norte, Brasilia, DF","VIA E N DOIS NORTE, BRASILIA - DF, 70833-520, BRASIL - BRASILIA",-15.783635,-47.890337,-15.782723,-47.868350,-15.783029,-47.868316,2022-04-04 11:59:46.370,
TAXIGOV_DF,514704.0,Ministério da Saúde,CONCLUÍDA,1 - REUNIAO EXTERNA,14.42,45.57,2022-03-31 08:50:49.197,2022-03-31 08:50:59.647,2022-03-31 08:55:10.473,2022-03-31 08:55:49.497,2022-03-31 09:19:40.457,ANEXO DO MINISTERIO DA SAUDE,G,BRASILIA,DF,"Editora Ministerio da Saude, Brasilia, DF","SIA TRECHO 4, GUARA, BRASILIA - DF, 71200-041, BRASIL - BRASILIA",-15.801788,-47.868714,-15.801811,-47.956173,-15.802008,-47.956647,2022-04-04 11:58:59.040,
TAXIGOV_DF,514707.0,MINISTERIO DO DESENVOLVIMENTO REGIONAL,CONCLUÍDA,1 - REUNIAO EXTERNA,14.3,45.19,2022-03-31 08:56:29.130,2022-03-31 08:59:05.013,2022-03-31 09:13:37.423,2022-03-31 09:13:48.060,2022-03-31 09:37:51.387,"MINISTERIO DO DESENVOLVIMENTO REGIONAL, VIA W 5 NORTE, 174",ASA NORTE,BRASILIA,DF,"Estrada Setor Policial Militar, Brasilia, Distrito Federal","SPO. 15, BRASILIA - DF, 70610-200, BRASIL - BRASILIA",-15.770399,-47.893189,-15.823708,-47.934924,-15.819739,-47.945705,2022-04-04 13:30:17.067,
TAXIGOV_DF,514713.0,Ministério da Saúde,CONCLUÍDA,1 - REUNIAO EXTERNA,4.0,12.64,2022-03-31 08:58:29.373,2022-03-31 09:00:03.827,2022-03-31 09:05:01.063,2022-03-31 09:06:01.830,2022-03-31 09:16:50.683,MINISTERIO DA SAUDE (PO 700),BRASILIA,BRASILIA,DF,"OPAS / OMS - Organizacao Mundial da Saude, SEN, Asa Norte, Brasilia, DF","VIA E N DOIS NORTE, BRASILIA - DF, 70833-520, BRASIL - BRASILIA",-15.783607,-47.890239,-15.782723,-47.868350,-15.783026,-47.868321,2022-04-04 11:59:46.617,
TAXIGOV_DF,514714.0,Ministério da Mulher,CONCLUÍDA,1 - REUNIAO EXTERNA,1.48,6.32,2022-03-31 08:58:59.410,2022-03-31 08:59:16.693,2022-03-31 09:01:01.060,2022-03-31 09:03:55.590,2022-03-31 09:07:27.970,MINISTERIO DA CIDADANIA,BRASILIA,BRASILIA,DF,"Palacio do Planalto, Brasilia, DF","VIA N. UM LESTE, BRASILIA - DF, 70833-520, BRASIL - BRASILIA",-15.798331,-47.873341,-15.799048,-47.860768,-15.799296,-47.861796,2022-04-05 15:11:01.930,
TAXIGOV_DF,514717.0,Ministério da Saúde,CONCLUÍDA,1 - REUNIAO EXTERNA,2.42,7.66,2022-03-31 09:00:10.620,2022-03-31 09:01:15.560,2022-03-31 09:07:35.347,2022-03-31 09:07:38.370,2022-03-31 09:12:38.340,"MINISTERIO DA SAUDE (PO 700), SRTVN QUADRA 701",ASA NORTE,BRASILIA,DF,"Edificio Parque Cidade Corporate, Asa Sul, Brasilia, Distrito Federal","BRASILIA - DF, 70346-090, BRASIL - BRASILIA",-15.783608,-47.890240,-15.795101,-47.893447,-15.795109,-47.893706,2022-04-04 11:59:46.860,
TAXIGOV_DF,514722.0,Ministério da Infraestrutura,CANCELADA,1 - REUNIAO EXTERNA,,,2022-03-31 09:02:38.380,2022-03-31 09:02:53.053,,2022-03-31 09:02:53.053,2022-03-31 09:04:21.920,"MINISTERIO DA INFRAESTRUTURA, ESPLANADA DOS MINISTERIOS MINISTERIO DAS COMUNICACOES",ZONA CIVICOADMINISTRATIVA,BRASILIA,DF,"Palacio do Planalto, Brasilia, Distrito Federal",,-15.796863,-47.867229,-15.799049,-47.860769,,,,
TAXIGOV_DF,514724.0,Ministério da Mulher,CONCLUÍDA,1 - REUNIAO EXTERNA,1.39,6.32,2022-03-31 09:04:06.477,2022-03-31 09:05:28.333,2022-03-31 09:05:49.630,2022-03-31 09:06:28.137,2022-03-31 09:09:38.777,"MINISTERIO DA MULHER, DA FAMILIA E DOS DIREITOS HUMANOS",ASA SUL,BRASILIA,DF,"Palacio do Planalto, Brasilia, DF","VIA N. UM LESTE, BRASILIA - DF, 70833-520, BRASIL - BRASILIA",-15.798929,-47.87344,-15.799048,-47.860768,-15.799287,-47.861807,2022-04-05 15:11:02.183,
TAXIGOV_DF,514728.0,Ministério da Economia,CONCLUÍDA,1 - REUNIAO EXTERNA,5.32,16.81,2022-03-31 09:05:02.933,2022-03-31 09:08:33.240,2022-03-31 09:11:03.490,2022-03-31 09:12:13.197,2022-03-31 09:23:26.163,MINISTERIO DA ECONOMIA - BLOCO K,ASA NORTE,BRASILIA,DF,"SGO Q 1 Ae, Brasilia, DF","SGO, BRASILIA - DF, 70833-520, BRASIL - BRASILIA",-15.794996,-47.873968,-15.782000,-47.911890,-15.782633,-47.910141,2022-04-07 10:45:56.493,
TAXIGOV_DF,514731.0,Ministério Cidadania,CONCLUÍDA,1 - REUNIAO EXTERNA,10.95,34.61,2022-03-31 09:06:55.177,2022-03-31 09:07:02.950,2022-03-31 09:10:39.850,2022-03-31 09:15:11.763,2022-03-31 09:28:23.713,SAAN QUADRA 4,ZONA INDUSTRIAL,BRASILIA,DF,"Ed.The Union, Smpw Trecho 3 Q 2 Q 1 Conjunto 2, Brasilia, DF","BRASILIA - DF, 70346-090, BRASIL - BRASILIA",-15.760138,-47.931871,-15.836361,-47.951692,-15.83615,-47.951625,2022-04-04 17:02:06.153,
TAXIGOV_DF,514733.0,Ministério do Turismo,CONCLUÍDA,1 - REUNIAO EXTERNA,1.48,6.32,2022-03-31 09:07:47.747,2022-03-31 09:07:56.883,2022-03-31 09:10:00.190,2022-03-31 09:12:56.163,2022-03-31 09:16:24.737,MINISTÉRIO DO MEIO AMBIENTE,,BRASÍLIA,DF,PALÁCIO DO PLANALTO - BRASÍLIA / DF,"VIA N. UM LESTE, BRASILIA - DF, 70833-520, BRASIL - BRASÍLIA",-15.798594,-47.872432,-15.799048,-47.860768,-15.799327,-47.861717,2022-04-07 18:06:22.510,
TAXIGOV_DF,514735.0,Ministério Cidadania,CONCLUÍDA,1 - REUNIAO EXTERNA,1.49,6.32,2022-03-31 09:08:33.137,2022-03-31 09:08:40.937,2022-03-31 09:08:50.300,2022-03-31 09:13:21.750,2022-03-31 09:16:57.740,"MINISTERIO DA CIDADANIA - MC, EIXO MONUMENTAL",,BRASILIA,DF,"Palacio do Planalto, Brasilia, Distrito Federal","PRACA DOS TRES PODERES, BRASILIA - DF, 70070-350, BRASIL - BRASILIA",-15.798614,-47.872419,-15.799049,-47.860769,-15.799559,-47.861597,2022-04-04 17:04:37.670,
TAXIGOV_DF,514740.0,Ministério das Comunicações,CONCLUÍDA,1 - REUNIAO EXTERNA,49.09,155.12,2022-03-31 09:10:19.927,2022-03-31 09:11:12.450,2022-03-31 09:22:21.557,2022-03-31 09:25:28.823,2022-03-31 10:16:30.163,RUA ANA,NOVO GAMA,NOVO GAMA,GO,"Palacio do Planalto, Brasilia, Distrito Federal","VIA N. UM LESTE, BRASILIA - DF, 70833-520, BRASIL - NOVO GAMA",-16.074320,-48.063535,-15.799049,-47.860769,-15.799276,-47.861803,,
TAXIGOV_DF,514742.0,MINISTERIO DO DESENVOLVIMENTO REGIONAL,CONCLUÍDA,1 - REUNIAO EXTERNA,13.92,43.98,2022-03-31 09:12:48.857,2022-03-31 09:25:13.370,2022-03-31 09:29:17.900,2022-03-31 09:30:07.097,2022-03-31 09:52:00.613,"MINISTERIO DO DESENVOLVIMENTO REGIONAL, 174",ASA NORTE,BRASILIA,DF,"CENAD, Brasilia, DF","SPO. 15, BRASILIA - DF, 70610-200, BRASIL - BRASILIA",-15.770399,-47.893189,-15.814576,-47.941157,-15.819975,-47.945623,2022-04-04 13:30:17.317,
TAXIGOV_DF,514745.0,Ministério da Economia,CANCELADA,1 - REUNIAO EXTERNA,,,2022-03-31 09:13:36.963,2022-03-31 09:13:47.560,,2022-03-31 09:13:47.560,2022-03-31 09:17:34.380,MINISTÉRIO DA ECONOMIA - BLOCO F,ZONA CÍVICO-ADMINISTRATIVA,BRASÍLIA,DF,PALÁCIO DO PLANALTO - BRASÍLIA / DF,,-15.799624,-47.869075,-15.799048,-47.860768,,,,
TAXIGOV_DF,514747.0,MINISTERIO DO DESENVOLVIMENTO REGIONAL,CONCLUÍDA,1 - REUNIAO EXTERNA,13.53,42.74,2022-03-31 09:14:47.527,2022-03-31 09:14:55.263,2022-03-31 09:16:14.340,2022-03-31 09:17:41.707,2022-03-31 09:41:26.580,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACOES - MCTI",ASA SUL,BRASILIA,DF,"CENAD, Brasilia, DF","BRASILIA - DF, 70610-200, BRASIL - BRASILIA",-15.799394,-47.869908,-15.814576,-47.941157,-15.815226,-47.941062,2022-04-04 13:30:17.573,
TAXIGOV_DF,514750.0,Ministério da Mulher,CONCLUÍDA,1 - REUNIAO EXTERNA,3.92,12.4,2022-03-31 09:16:00.043,2022-03-31 09:16:12.120,2022-03-31 09:18:51.357,2022-03-31 09:20:00.453,2022-03-31 09:29:25.703,EDIFICIO PARQUE CIDADE CORPORATE,ASA SUL,BRASILIA,DF,"Palacio do Planalto, Brasilia, DF","VIA N. UM LESTE, BRASILIA - DF, 70833-520, BRASIL - BRASILIA",-15.795101,-47.893446,-15.799048,-47.860768,-15.799307,-47.861773,2022-04-04 12:16:23.687,
TAXIGOV_DF,514753.0,Ministério Cidadania,CONCLUÍDA,1 - REUNIAO EXTERNA,17.2,54.34,2022-03-31 09:16:14.037,2022-03-31 09:16:35.753,2022-03-31 09:22:30.510,2022-03-31 09:22:33.390,2022-03-31 09:50:22.013,MINISTERIO DO DESENVOLVIMENTO SOCIAL,BRASILIA,BRASILIA,DF,"Casa de Ismael - Lar da Crianca, Sofn Q 4 Conjunto G, Asa Norte, Brasilia, DF","SGAN 914 BLOCO G, BRASILIA - DF, 70833-520, BRASIL - BRASILIA",-15.836103,-47.951263,-15.749094,-47.899718,-15.749037,-47.899633,2022-04-06 10:08:20.047,
TAXIGOV_DF,514754.0,Ministério Cidadania,CONCLUÍDA,1 - REUNIAO EXTERNA,14.66,46.32,2022-03-31 09:16:33.193,2022-03-31 09:16:43.403,2022-03-31 09:27:43.710,2022-03-31 09:29:17.103,2022-03-31 09:45:54.497,MINISTERIO DO DESENVOLVIMENTO SOCIAL,BRASILIA,BRASILIA,DF,"Casa de Ismael - Lar da Crianca, Sofn Q 4 Conjunto G, Asa Norte, Brasilia, DF","SGAN 914 BLOCO G, BRASILIA - DF, 70833-520, BRASIL - BRASILIA",-15.836103,-47.951263,-15.749094,-47.899718,-15.748855,-47.899511,2022-04-06 10:08:20.297,
TAXIGOV_DF,514757.0,MAPA - Ministério da Agricultura - Pecuária e Abastecimento,CANCELADA,1 - REUNIAO EXTERNA,,6.32,2022-03-31 09:18:14.800,2022-03-31 09:18:39.160,2022-03-31 09:28:16.613,2022-03-31 09:18:39.160,2022-03-31 09:38:48.903,"BRASILIA - DF, 70833-520, BRASIL",BRASILIA,BRASILIA,DF,"Ministerio da Agricultura, Pecuaria e Abastecimento (Mapa), Esplanada dos Ministerios, Bl. D, Brasilia, Brasilia, DF",,-15.792792,-47.879733,-15.799613,-47.870953,,,,
TAXIGOV_DF,514758.0,Ministério Cidadania,CONCLUÍDA,1 - REUNIAO EXTERNA,15.72,49.68,2022-03-31 09:18:27.953,2022-03-31 09:19:28.990,2022-03-31 09:31:49.557,2022-03-31 09:32:00.673,2022-03-31 10:05:33.820,"MINISTERIO DO DESENVOLVIMENTO SOCIAL, SMAS - TRECHO 3, LOTE 01, EDIFICIO THE UNION",ASA SUL,BRASILIA,DF,"Ministerio da Cidadania - MC, Eixo Monumental, Brasilia, Distrito Federal","EMI BLOCO A, BRASILIA - DF, 70346-090, BRASIL - BRASILIA",-15.836104,-47.951264,-15.798614,-47.872419,-15.798891,-47.873320,2022-04-04 16:59:11.937,
TAXIGOV_DF,514759.0,Ministério Cidadania,CONCLUÍDA,1 - REUNIAO EXTERNA,11.98,37.85,2022-03-31 09:18:39.003,2022-03-31 09:21:37.527,2022-03-31 09:36:55.680,2022-03-31 09:37:49.277,2022-03-31 09:53:37.187,THE UNION,BRASILIA,BRASILIA,DF,"Ministerio da Cidadania - MC, Eixo Monumental, Brasilia, DF","BRASILIA - DF, 70346-090, BRASIL - BRASILIA",-15.836098,-47.951126,-15.798614,-47.872418,-15.798789,-47.873542,2022-04-06 10:09:04.623,
